author,image,name,price
Mary Pope Osborne,"https://images-na.ssl-images-amazon.com/images/I/91QlpsqnTrL._AC_UL200_SR200,200_.jpg","Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",$14.88
Jenson William,"https://images-na.ssl-images-amazon.com/images/I/81k4kRadTDL._AC_UL200_SR200,200_.jpg",Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,$9.90
Samin Nosrat,"https://images-na.ssl-images-amazon.com/images/I/71Fz1LqADbL._AC_UL200_SR200,200_.jpg","Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",$20.96
Workman Publishing,"https://images-na.ssl-images-amazon.com/images/I/81FklzlGqUL._AC_UL200_SR200,200_.jpg",Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,$8.95
Alice Schertle,"https://images-na.ssl-images-amazon.com/images/I/81O9Lmsoz6L._AC_UL200_SR200,200_.jpg",Little Blue Truck's Christmas,$7.52
Mark Rader,"https://images-na.ssl-images-amazon.com/images/I/91Mun6FugAL._AC_UL200_SR200,200_.jpg","World of Eric Carle, Around the Farm 30-Button Sound Book – Great Alternative to Toys for Christmas- PI Kids (Play-A-Sound)",$13.48
Crystal Chatterton,"https://images-na.ssl-images-amazon.com/images/I/71dynac3rAL._AC_UL200_SR200,200_.jpg",Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids),$8.99
Monica Sweeney,"https://images-na.ssl-images-amazon.com/images/I/71hTq4t1PEL._AC_UL200_SR200,200_.jpg",Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),$8.99
School Zone,"https://images-na.ssl-images-amazon.com/images/I/81l5cotbGvL._AC_UL200_SR200,200_.jpg","School Zone - Go Fish Alphabet Game Cards - Ages 4 and Up, Preschool to First Grade, Uppercase and Lowercase Letters, ABCs, Word-Picture Recognition, Animals, Card Game, Matching, and More",$2.99
Robb Pearlman,"https://images-na.ssl-images-amazon.com/images/I/91O1RKTpiWL._AC_UL200_SR200,200_.jpg",The Office: A Day at Dunder Mifflin Elementary,$11.51
Carole P. Roman,"https://images-na.ssl-images-amazon.com/images/I/71bxwhNqlEL._AC_UL200_SR200,200_.jpg",The Big Book of Silly Jokes for Kids (Big Book of Silly Jokes for Kids Series),$8.94
