Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester
Digital VLSI Design,DVD,ECE314/ECE514,None,None,Monsoon
Analog CMOS Circuit Design,CMOS,ECE315/ECE515,None,None,Monsoon
Solid State Devices,SSD,ECE318,None,None,Monsoon
RF Circuit Design,RFCD,ECE321/ECE521,ECE230,None,Winter
Digital Communication Systems,DCS,ECE340,ECE240,None,Monsoon
Mobile Communications,MCOM,ECE343,ECE240,None,Winter
Digital Image Processing,DIP,ECE350,"MTH100, MTH201",None,Monsoon
Digital Signal Processing,DSP,ECE351,ECE250,None,Monsoon
Antennas Theory and Design,ATD,ECE431/ECE631,ECE230,None,Monsoon
Radar Systems,RS,ECE432/ECE632,ECE250,None,Winter
Statistical Signal Processing,SSP,ECE452/ECE552,"MTH100, MTH201, ECE250",None,Winter
Probability and Random Process,PRP,ECE501,ECE240,None,Monsoon
Digital Hardware Design,DHD,ECE510,ECE270,None,Monsoon
VLSI Design Flow,VDF,ECE513,ECE101,None,Monsoon
System on Chip Design and Test,SCDT,ECE516,"ECE314/ECE514, CSE234",None,Monsoon
Introduction to Nanoelectronics,INE,ECE517,None,None,Winter
Intelligent Applications Implementation on Heterogeneous Platforms,IAI,ECE519,CSE112,None,Monsoon
Low Voltage Analog Circuit Design,LVACD,ECE520,ECE315/ECE515,None,Monsoon
Integrated Circuit Fabrication,ICF,ECE522,None,None,Monsoon
Satellite Navigation and Sensor Fusion,SNSF,ECE533,ECE351,None,Monsoon
Optical Communications Systems,OCS,ECE534,ECE240,None,Winter
Optical Networking,ON,ECE536s,None,None,Summer
Wireless Communication Evolution from 3G to 5G,WCE,ECE537,ECE240,None,Winter
Wireless System Implementation,WSI,ECE539,ECE240,None,Winter
Principals of Digital Communication System,PDCS,ECE543,ECE240,None,Monsoon
Photonics: Fundamentals & Applications,Pho,ECE545,ECE230,None,Monsoon
Bayesian Machine Learning,BML,ECE551,"ECE501, ECE452 or CSE342/CSE542",None,Monsoon
Compressive Sensing,CS,ECE554,MTH100,None,Monsoon
Speech Recognition and Understanding,SRU,ECE557,ECE250,None,Winter
Transform Learning and Applications,TLA,ECE558,MTH100,ECE362/ECE562,Winter
Modeling and Analysis of Random 5G Networks,5GN,ECE55G,MTH201,None,Winter
Control Theory,CNT,ECE570,None,None,Monsoon
Optimal Control Systems,OCNS,ECE571,None,None,Winter
Advanced Embedded Logic Design,AELD,ECE573,CSE234,None,Winter
Machine Learning Techniques for Real-time Control,MLRC,ECE577,None,None,Winter
Nonlinear and Adaptive Control of Robotic Systems,NLR,ECE579,None,None,Monsoon
Autonomous Driving,AD,ECE581,None,None,Winter
Memory Design and Testing,MDT,ECE611,"ECE111, ECE113",None,Winter
